🔬 Generando tabla periódica de palitos...
✅ Generados 3101 átomos

==================================================================================================================================
N°,Nombre,Capas,I,O,Longitud,P.Fusion,Desap,Mag,Fuerza,Conduct,React,Radiact
32,Atom_032,2,3,4,6,-273.0,1,0.50,No,54.0,187.0,0.00
33,Atom_033,2,3,5,6,360.3,1,0.50,No,34.0,185.0,0.00
34,Atom_034,2,3,6,6,-273.0,0,0.00,No,14.0,240.0,0.00
35,Atom_035,2,4,0,6,648.3,2,0.99,Si,64.0,165.0,0.00
36,Atom_036,2,4,1,6,616.3,2,0.99,Si,79.0,158.0,0.00
37,Atom_037,2,4,2,6,210.3,1,0.50,No,94.0,151.0,0.00
38,Atom_038,2,4,3,6,552.3,1,0.50,No,72.0,159.0,0.00
39,Atom_039,2,4,4,6,-227.7,0,0.00,No,64.0,157.0,0.00
40,Atom_040,2,4,5,6,488.3,0,0.00,No,44.0,170.0,0.00
41,Atom_041,2,4,6,6,-273.0,0,0.00,No,24.0,225.0,0.00
42,Atom_042,3,0,0,5,202.0,0,0.00,No,36.0,0.0,0.00
43,Atom_043,3,0,1,5,170.0,0,0.00,No,48.5,0.0,0.00
44,Atom_044,3,0,2,5,-236.0,0,0.00,No,61.0,0.0,0.00
45,Atom_045,3,0,3,5,106.0,0,0.00,No,48.0,0.0,0.00
46,Atom_046,3,0,4,5,-273.0,0,0.00,No,41.3,0.0,0.00
47,Atom_047,3,0,5,5,42.0,0,0.00,No,32.7,0.0,0.00
48,Atom_048,3,0,6,5,-273.0,0,0.00,No,16.0,0.0,0.00
49,Atom_049,3,0,7,5,-22.0,0,0.00,No,0.0,0.0,0.00
50,Atom_050,3,0,8,5,-273.0,0,0.00,No,0.0,0.0,0.00
51,Atom_051,3,0,9,5,-86.0,0,0.00,No,0.0,0.0,0.00
52,Atom_052,3,0,10,5,-273.0,0,0.00,No,0.0,0.0,0.00
53,Atom_053,3,1,0,5,330.0,1,0.90,Si,46.0,245.0,0.00
54,Atom_054,3,1,1,5,298.0,1,0.90,Si,58.5,239.7,0.00
55,Atom_055,3,1,2,5,-108.0,0,0.00,No,71.0,234.3,0.00
56,Atom_056,3,1,3,5,234.0,0,0.00,No,58.0,240.0,0.00
57,Atom_057,3,1,4,5,-273.0,0,0.00,No,51.3,238.3,0.00
58,Atom_058,3,1,5,5,170.0,0,0.00,No,42.7,236.7,0.00
59,Atom_059,3,1,6,5,-273.0,0,0.00,No,26.0,270.0,0.00
60,Atom_060,3,1,7,5,106.0,0,0.00,No,9.3,274.2,0.00
61,Atom_061,3,1,8,5,-273.0,0,0.00,No,0.0,278.3,0.00
62,Atom_062,3,1,9,5,42.0,0,0.00,No,0.0,290.0,0.00
63,Atom_063,3,1,10,5,-273.0,0,0.00,No,0.0,306.7,0.00
64,Atom_064,3,2,0,5,458.0,2,1.80,Si,56.0,210.0,0.00
65,Atom_065,3,2,1,5,426.0,2,1.80,Si,68.5,204.7,0.00
66,Atom_066,3,2,2,5,20.0,1,0.90,Si,81.0,199.3,0.00
67,Atom_067,3,2,3,5,362.0,1,0.90,Si,68.0,205.0,0.00
68,Atom_068,3,2,4,5,-273.0,0,0.00,No,61.3,203.3,0.00
69,Atom_069,3,2,5,5,298.0,0,0.00,No,52.7,201.7,0.00
70,Atom_070,3,2,6,5,-273.0,0,0.00,No,36.0,235.0,0.00
71,Atom_071,3,2,7,5,234.0,0,0.00,No,19.3,239.2,0.00
72,Atom_072,3,2,8,5,-273.0,0,0.00,No,2.7,253.3,0.00
73,Atom_073,3,2,9,5,170.0,0,0.00,No,0.0,270.0,0.00
74,Atom_074,3,2,10,5,-273.0,0,0.00,No,0.0,286.7,0.00
75,Atom_075,3,3,0,5,586.0,3,2.70,Si,66.0,175.0,0.00
76,Atom_076,3,3,1,5,554.0,3,2.70,Si,78.5,169.7,0.00
77,Atom_077,3,3,2,5,148.0,2,1.80,Si,91.0,164.3,0.00
78,Atom_078,3,3,3,5,490.0,2,1.80,Si,78.0,170.0,0.00
79,Atom_079,3,3,4,5,-273.0,1,0.90,Si,71.3,168.3,0.00
80,Atom_080,3,3,5,5,426.0,1,0.90,Si,62.7,166.7,0.00
81,Atom_081,3,3,6,5,-273.0,0,0.00,No,46.0,200.0,0.00
82,Atom_082,3,3,7,5,362.0,0,0.00,No,29.3,216.7,0.00
83,Atom_083,3,3,8,5,-273.0,0,0.00,No,12.7,233.3,0.00
84,Atom_084,3,3,9,5,298.0,0,0.00,No,0.0,250.0,0.00
85,Atom_085,3,3,10,5,-273.0,0,0.00,No,0.0,266.7,0.00
86,Atom_086,3,4,0,5,714.0,4,3.60,Si,76.0,145.0,0.00
87,Atom_087,3,4,1,5,682.0,4,3.60,Si,88.5,139.7,0.00
88,Atom_088,3,4,2,5,276.0,3,2.70,Si,101.0,134.3,0.00
89,Atom_089,3,4,3,5,618.0,3,2.70,Si,88.0,140.0,0.00
90,Atom_090,3,4,4,5,-162.0,2,1.80,Si,81.3,138.3,0.00
91,Atom_091,3,4,5,5,554.0,2,1.80,Si,72.7,139.2,0.00
92,Atom_092,3,4,6,5,-226.0,1,0.90,Si,56.0,185.0,0.00
93,Atom_093,3,4,7,5,490.0,1,0.90,Si,39.3,201.7,0.00
94,Atom_094,3,4,8,5,-273.0,0,0.00,No,22.7,218.3,0.00
95,Atom_095,3,4,9,5,426.0,0,0.00,No,6.0,235.0,0.00
96,Atom_096,3,4,10,5,-273.0,0,0.00,No,0.0,251.7,0.00
97,Atom_097,3,5,0,5,842.0,5,4.50,Si,86.0,135.0,0.00
98,Atom_098,3,5,1,5,810.0,5,4.50,Si,98.5,129.7,0.00
99,Atom_099,3,5,2,5,404.0,4,3.60,Si,111.0,124.3,0.00
100,Atom_100,3,5,3,5,746.0,4,3.60,Si,98.0,130.0,0.00
101,Atom_101,3,5,4,5,-34.0,3,2.70,Si,91.3,133.3,0.00
102,Atom_102,3,5,5,5,682.0,3,2.70,Si,82.7,144.2,0.00
103,Atom_103,3,5,6,5,-98.0,2,1.80,Si,66.0,190.0,0.00
104,Atom_104,3,5,7,5,618.0,2,1.80,Si,49.3,206.7,0.00
105,Atom_105,3,5,8,5,-273.0,1,0.90,Si,32.7,223.3,0.00
106,Atom_106,3,5,9,5,554.0,1,0.90,Si,16.0,240.0,0.00
107,Atom_107,3,5,10,5,-273.0,0,0.00,No,0.0,256.7,0.00
108,Atom_108,3,6,0,5,970.0,4,3.60,Si,126.0,130.0,0.00
109,Atom_109,3,6,1,5,938.0,4,3.60,Si,138.5,124.7,0.00
110,Atom_110,3,6,2,5,532.0,1,0.90,Si,151.0,119.3,0.00
111,Atom_111,3,6,3,5,874.0,0,0.00,No,138.0,132.5,0.00
112,Atom_112,3,6,4,5,94.0,0,0.00,No,131.3,143.3,0.00
113,Atom_113,3,6,5,5,810.0,0,0.00,No,122.7,154.2,0.00
114,Atom_114,3,6,6,5,30.0,0,0.00,No,106.0,200.0,0.00
115,Atom_115,3,6,7,5,746.0,0,0.00,No,89.3,216.7,0.00
116,Atom_116,3,6,8,5,-273.0,0,0.00,No,72.7,233.3,0.00
117,Atom_117,3,6,9,5,682.0,0,0.00,No,56.0,250.0,0.00
118,Atom_118,3,6,10,5,-273.0,0,0.00,No,39.3,266.7,0.00
119,Atom_119,3,7,0,5,1098.0,3,4.86,Si,136.0,130.0,0.00
120,Atom_120,3,7,1,5,1066.0,3,2.70,Si,148.5,124.7,0.00
121,Atom_121,3,7,2,5,660.0,0,0.00,No,161.0,129.3,0.00
122,Atom_122,3,7,3,5,1002.0,0,0.00,No,148.0,147.5,0.00
123,Atom_123,3,7,4,5,222.0,0,0.00,No,141.3,158.3,0.00
124,Atom_124,3,7,5,5,938.0,0,0.00,No,132.7,169.2,0.00
125,Atom_125,3,7,6,5,158.0,0,0.00,No,116.0,215.0,0.00
126,Atom_126,3,7,7,5,874.0,0,0.00,No,99.3,231.7,0.00
127,Atom_127,3,7,8,5,-273.0,0,0.00,No,82.7,248.3,0.00
128,Atom_128,3,7,9,5,810.0,0,0.00,No,66.0,265.0,0.00
129,Atom_129,3,7,10,5,-273.0,0,0.00,No,49.3,281.7,0.00
130,Atom_130,3,8,0,5,1226.0,2,3.24,Si,146.0,130.0,0.00
131,Atom_131,3,8,1,5,1194.0,2,1.80,Si,158.5,137.2,0.00
132,Atom_132,3,8,2,5,788.0,0,0.00,No,171.0,144.3,0.00
133,Atom_133,3,8,3,5,1130.0,0,0.00,No,158.0,162.5,0.00
134,Atom_134,3,8,4,5,350.0,0,0.00,No,151.3,173.3,0.00
135,Atom_135,3,8,5,5,1066.0,0,0.00,No,142.7,184.2,0.00
136,Atom_136,3,8,6,5,286.0,0,0.00,No,126.0,230.0,0.00
137,Atom_137,3,8,7,5,1002.0,0,0.00,No,109.3,246.7,0.00
138,Atom_138,3,8,8,5,-273.0,0,0.00,No,92.7,263.3,0.00
139,Atom_139,3,8,9,5,938.0,0,0.00,No,76.0,280.0,0.00
140,Atom_140,3,8,10,5,-273.0,0,0.00,No,59.3,296.7,0.00
141,Atom_141,3,9,0,5,1354.0,1,1.62,Si,156.0,145.0,0.00
142,Atom_142,3,9,1,5,1322.0,1,0.90,Si,168.5,152.2,0.00
143,Atom_143,3,9,2,5,916.0,0,0.00,No,181.0,159.3,0.00
144,Atom_144,3,9,3,5,1258.0,0,0.00,No,168.0,177.5,0.00
145,Atom_145,3,9,4,5,478.0,0,0.00,No,161.3,188.3,0.00
146,Atom_146,3,9,5,5,1194.0,0,0.00,No,152.7,199.2,0.00
147,Atom_147,3,9,6,5,414.0,0,0.00,No,136.0,245.0,0.00
148,Atom_148,3,9,7,5,1130.0,0,0.00,No,119.3,261.7,0.00
149,Atom_149,3,9,8,5,-273.0,0,0.00,No,102.7,278.3,0.00
150,Atom_150,3,9,9,5,1066.0,0,0.00,No,86.0,295.0,0.00
151,Atom_151,3,9,10,5,-273.0,0,0.00,No,69.3,311.7,0.00
152,Atom_152,4,0,0,4,268.5,0,0.00,No,48.0,0.0,0.00
153,Atom_153,4,0,1,4,236.5,0,0.00,No,58.0,0.0,0.00
154,Atom_154,4,0,2,4,-169.5,0,0.00,No,68.0,0.0,0.00
155,Atom_155,4,0,3,4,172.5,0,0.00,No,78.0,0.0,0.00
156,Atom_156,4,0,4,4,-273.0,0,0.00,No,58.7,0.0,0.00
157,Atom_157,4,0,5,4,108.5,0,0.00,No,53.3,0.0,0.00
158,Atom_158,4,0,6,4,-273.0,0,0.00,No,48.0,0.0,0.00
159,Atom_159,4,0,7,4,44.5,0,0.00,No,34.7,0.0,0.00
160,Atom_160,4,0,8,4,-273.0,0,0.00,No,21.3,0.0,0.00
161,Atom_161,4,0,9,4,-19.5,0,0.00,No,8.0,0.0,0.00
162,Atom_162,4,0,10,4,-273.0,0,0.00,No,0.0,0.0,0.00
163,Atom_163,4,0,11,4,-83.5,0,0.00,No,0.0,0.0,0.00
164,Atom_164,4,0,12,4,-273.0,0,0.00,No,0.0,0.0,0.00
165,Atom_165,4,0,13,4,-147.5,0,0.00,No,0.0,0.0,0.00
166,Atom_166,4,0,14,4,-273.0,0,0.00,No,0.0,0.0,0.00
167,Atom_167,4,1,0,4,396.5,1,1.29,Si,58.0,225.0,0.00
168,Atom_168,4,1,1,4,364.5,1,1.29,Si,68.0,221.3,0.00
169,Atom_169,4,1,2,4,-41.5,0,0.00,No,78.0,217.7,0.00
170,Atom_170,4,1,3,4,300.5,0,0.00,No,88.0,221.0,0.00
171,Atom_171,4,1,4,4,-273.0,0,0.00,No,68.7,219.7,0.00
172,Atom_172,4,1,5,4,236.5,0,0.00,No,63.3,218.3,0.00
173,Atom_173,4,1,6,4,-273.0,0,0.00,No,58.0,245.0,0.00
174,Atom_174,4,1,7,4,172.5,0,0.00,No,44.7,248.3,0.00
175,Atom_175,4,1,8,4,-273.0,0,0.00,No,31.3,251.7,0.00
176,Atom_176,4,1,9,4,108.5,0,0.00,No,18.0,255.0,0.00
177,Atom_177,4,1,10,4,-273.0,0,0.00,No,4.7,258.3,0.00
178,Atom_178,4,1,11,4,44.5,0,0.00,No,0.0,266.7,0.00
179,Atom_179,4,1,12,4,-273.0,0,0.00,No,0.0,280.0,0.00
180,Atom_180,4,1,13,4,-19.5,0,0.00,No,0.0,293.3,0.00
181,Atom_181,4,1,14,4,-273.0,0,0.00,No,0.0,306.7,0.00
182,Atom_182,4,2,0,4,524.5,2,2.59,Si,68.0,190.0,0.00
183,Atom_183,4,2,1,4,492.5,2,2.59,Si,78.0,186.3,0.00
184,Atom_184,4,2,2,4,86.5,1,1.29,Si,88.0,182.7,0.00
185,Atom_185,4,2,3,4,428.5,1,1.29,Si,98.0,186.0,0.00
186,Atom_186,4,2,4,4,-273.0,0,0.00,No,78.7,184.7,0.00
187,Atom_187,4,2,5,4,364.5,0,0.00,No,73.3,183.3,0.00
188,Atom_188,4,2,6,4,-273.0,0,0.00,No,68.0,210.0,0.00
189,Atom_189,4,2,7,4,300.5,0,0.00,No,54.7,213.3,0.00
190,Atom_190,4,2,8,4,-273.0,0,0.00,No,41.3,216.7,0.00
191,Atom_191,4,2,9,4,236.5,0,0.00,No,28.0,220.0,0.00
192,Atom_192,4,2,10,4,-273.0,0,0.00,No,14.7,233.3,0.00
193,Atom_193,4,2,11,4,172.5,0,0.00,No,1.3,246.7,0.00
194,Atom_194,4,2,12,4,-273.0,0,0.00,No,0.0,260.0,0.00
195,Atom_195,4,2,13,4,108.5,0,0.00,No,0.0,273.3,0.00
196,Atom_196,4,2,14,4,-273.0,0,0.00,No,0.0,286.7,0.00
197,Atom_197,4,3,0,4,652.5,3,3.88,Si,78.0,155.0,0.00
198,Atom_198,4,3,1,4,620.5,3,3.88,Si,88.0,151.3,0.00
199,Atom_199,4,3,2,4,214.5,2,2.59,Si,98.0,147.7,0.00
200,Atom_200,4,3,3,4,556.5,2,2.59,Si,108.0,151.0,0.00
201,Atom_201,4,3,4,4,-223.5,1,1.29,Si,88.7,149.7,0.00
202,Atom_202,4,3,5,4,492.5,1,1.29,Si,83.3,148.3,0.00
203,Atom_203,4,3,6,4,-273.0,0,0.00,No,78.0,175.0,0.00
204,Atom_204,4,3,7,4,428.5,0,0.00,No,64.7,178.3,0.00
205,Atom_205,4,3,8,4,-273.0,0,0.00,No,51.3,186.7,0.00
206,Atom_206,4,3,9,4,364.5,0,0.00,No,38.0,200.0,0.00
207,Atom_207,4,3,10,4,-273.0,0,0.00,No,24.7,213.3,0.00
208,Atom_208,4,3,11,4,300.5,0,0.00,No,11.3,226.7,0.00
209,Atom_209,4,3,12,4,-273.0,0,0.00,No,0.0,240.0,0.00
210,Atom_210,4,3,13,4,236.5,0,0.00,No,0.0,253.3,0.00
211,Atom_211,4,3,14,4,-273.0,0,0.00,No,0.0,266.7,0.00
212,Atom_212,4,4,0,4,780.5,4,5.17,Si,88.0,125.0,0.00
213,Atom_213,4,4,1,4,748.5,4,5.17,Si,98.0,121.3,0.00
214,Atom_214,4,4,2,4,342.5,3,3.88,Si,108.0,117.7,0.00
215,Atom_215,4,4,3,4,684.5,3,3.88,Si,118.0,121.0,0.00
216,Atom_216,4,4,4,4,-95.5,2,2.59,Si,98.7,119.7,0.00
217,Atom_217,4,4,5,4,620.5,2,2.59,Si,93.3,118.3,0.00
218,Atom_218,4,4,6,4,-159.5,1,1.29,Si,88.0,145.0,0.00
219,Atom_219,4,4,7,4,556.5,1,1.29,Si,74.7,158.3,0.00
220,Atom_220,4,4,8,4,-273.0,0,0.00,No,61.3,171.7,0.00
221,Atom_221,4,4,9,4,492.5,0,0.00,No,48.0,185.0,0.00
222,Atom_222,4,4,10,4,-273.0,0,0.00,No,34.7,198.3,0.00
223,Atom_223,4,4,11,4,428.5,0,0.00,No,21.3,211.7,0.00
224,Atom_224,4,4,12,4,-273.0,0,0.00,No,8.0,225.0,0.00
225,Atom_225,4,4,13,4,364.5,0,0.00,No,0.0,238.3,0.00
226,Atom_226,4,4,14,4,-273.0,0,0.00,No,0.0,251.7,0.00
227,Atom_227,4,5,0,4,908.5,5,6.47,Si,98.0,115.0,0.00
228,Atom_228,4,5,1,4,876.5,5,6.47,Si,108.0,111.3,0.00
229,Atom_229,4,5,2,4,470.5,4,5.17,Si,118.0,107.7,0.00
230,Atom_230,4,5,3,4,812.5,4,5.17,Si,128.0,111.0,0.00
231,Atom_231,4,5,4,4,32.5,3,3.88,Si,108.7,109.7,0.00
232,Atom_232,4,5,5,4,748.5,3,3.88,Si,103.3,113.3,0.00
233,Atom_233,4,5,6,4,-31.5,2,2.59,Si,98.0,150.0,0.00
234,Atom_234,4,5,7,4,684.5,2,2.59,Si,84.7,163.3,0.00
235,Atom_235,4,5,8,4,-273.0,1,1.29,Si,71.3,176.7,0.00
236,Atom_236,4,5,9,4,620.5,1,1.29,Si,58.0,190.0,0.00
237,Atom_237,4,5,10,4,-273.0,0,0.00,No,44.7,203.3,0.00
238,Atom_238,4,5,11,4,556.5,0,0.00,No,31.3,216.7,0.00
239,Atom_239,4,5,12,4,-273.0,0,0.00,No,18.0,230.0,0.00
240,Atom_240,4,5,13,4,492.5,0,0.00,No,4.7,243.3,0.00
241,Atom_241,4,5,14,4,-273.0,0,0.00,No,0.0,256.7,0.00
242,Atom_242,4,6,0,4,1036.5,4,5.17,Si,138.0,110.0,0.00
243,Atom_243,4,6,1,4,1004.5,4,5.17,Si,148.0,106.3,0.00
244,Atom_244,4,6,2,4,598.5,1,1.29,Si,158.0,102.7,0.00
245,Atom_245,4,6,3,4,940.5,0,0.00,No,168.0,106.0,0.00
246,Atom_246,4,6,4,4,160.5,0,0.00,No,148.7,114.7,0.00
247,Atom_247,4,6,5,4,876.5,0,0.00,No,143.3,123.3,0.00
248,Atom_248,4,6,6,4,96.5,0,0.00,No,138.0,160.0,0.00
249,Atom_249,4,6,7,4,812.5,0,0.00,No,124.7,173.3,0.00
250,Atom_250,4,6,8,4,-273.0,0,0.00,No,111.3,186.7,0.00
251,Atom_251,4,6,9,4,748.5,0,0.00,No,98.0,200.0,0.00
252,Atom_252,4,6,10,4,-273.0,0,0.00,No,84.7,213.3,0.00
253,Atom_253,4,6,11,4,684.5,0,0.00,No,71.3,226.7,0.00
254,Atom_254,4,6,12,4,-273.0,0,0.00,No,58.0,240.0,0.00
255,Atom_255,4,6,13,4,620.5,0,0.00,No,44.7,253.3,0.00
256,Atom_256,4,6,14,4,-273.0,0,0.00,No,31.3,266.7,0.00
257,Atom_257,4,7,0,4,1164.5,3,6.99,Si,148.0,110.0,0.00
258,Atom_258,4,7,1,4,1132.5,3,3.88,Si,158.0,106.3,0.00
259,Atom_259,4,7,2,4,726.5,0,0.00,No,168.0,107.7,0.00
260,Atom_260,4,7,3,4,1068.5,0,0.00,No,178.0,121.0,0.00
261,Atom_261,4,7,4,4,288.5,0,0.00,No,158.7,129.7,0.00
262,Atom_262,4,7,5,4,1004.5,0,0.00,No,153.3,138.3,0.00
263,Atom_263,4,7,6,4,224.5,0,0.00,No,148.0,175.0,0.00
264,Atom_264,4,7,7,4,940.5,0,0.00,No,134.7,188.3,0.00
265,Atom_265,4,7,8,4,-273.0,0,0.00,No,121.3,201.7,0.00
266,Atom_266,4,7,9,4,876.5,0,0.00,No,108.0,215.0,0.00
267,Atom_267,4,7,10,4,-273.0,0,0.00,No,94.7,228.3,0.00
268,Atom_268,4,7,11,4,812.5,0,0.00,No,81.3,241.7,0.00
269,Atom_269,4,7,12,4,-273.0,0,0.00,No,68.0,255.0,0.00
270,Atom_270,4,7,13,4,748.5,0,0.00,No,54.7,268.3,0.00
271,Atom_271,4,7,14,4,-273.0,0,0.00,No,41.3,281.7,0.00
272,Atom_272,4,8,0,4,1292.5,2,4.66,Si,158.0,110.0,0.00
273,Atom_273,4,8,1,4,1260.5,2,2.59,Si,168.0,116.3,0.00
274,Atom_274,4,8,2,4,854.5,0,0.00,No,178.0,122.7,0.00
275,Atom_275,4,8,3,4,1196.5,0,0.00,No,188.0,136.0,0.00
276,Atom_276,4,8,4,4,416.5,0,0.00,No,168.7,144.7,0.00
277,Atom_277,4,8,5,4,1132.5,0,0.00,No,163.3,153.3,0.00
278,Atom_278,4,8,6,4,352.5,0,0.00,No,158.0,190.0,0.00
279,Atom_279,4,8,7,4,1068.5,0,0.00,No,144.7,203.3,0.00
280,Atom_280,4,8,8,4,-273.0,0,0.00,No,131.3,216.7,0.00
281,Atom_281,4,8,9,4,1004.5,0,0.00,No,118.0,230.0,0.00
282,Atom_282,4,8,10,4,-273.0,0,0.00,No,104.7,243.3,0.00
283,Atom_283,4,8,11,4,940.5,0,0.00,No,91.3,256.7,0.00
284,Atom_284,4,8,12,4,-273.0,0,0.00,No,78.0,270.0,0.00
285,Atom_285,4,8,13,4,876.5,0,0.00,No,64.7,283.3,0.00
286,Atom_286,4,8,14,4,-273.0,0,0.00,No,51.3,296.7,0.00
287,Atom_287,4,9,0,4,1420.5,1,2.33,Si,168.0,125.0,0.00
288,Atom_288,4,9,1,4,1388.5,1,1.29,Si,178.0,131.3,0.00
289,Atom_289,4,9,2,4,982.5,0,0.00,No,188.0,137.7,0.00
290,Atom_290,4,9,3,4,1324.5,0,0.00,No,198.0,151.0,0.00
291,Atom_291,4,9,4,4,544.5,0,0.00,No,178.7,159.7,0.00
292,Atom_292,4,9,5,4,1260.5,0,0.00,No,173.3,168.3,0.00
293,Atom_293,4,9,6,4,480.5,0,0.00,No,168.0,205.0,0.00
294,Atom_294,4,9,7,4,1196.5,0,0.00,No,154.7,218.3,0.00
295,Atom_295,4,9,8,4,-273.0,0,0.00,No,141.3,231.7,0.00
296,Atom_296,4,9,9,4,1132.5,0,0.00,No,128.0,245.0,0.00
297,Atom_297,4,9,10,4,-273.0,0,0.00,No,114.7,258.3,0.00
298,Atom_298,4,9,11,4,1068.5,0,0.00,No,101.3,271.7,0.00
299,Atom_299,4,9,12,4,-273.0,0,0.00,No,88.0,285.0,0.00
300,Atom_300,4,9,13,4,1004.5,0,0.00,No,74.7,298.3,0.00
301,Atom_301,4,9,14,4,-273.0,0,0.00,No,61.3,311.7,0.00
302,Atom_302,4,10,0,4,1548.5,0,0.00,No,178.0,140.0,0.00
303,Atom_303,4,10,1,4,1516.5,0,0.00,No,188.0,146.3,0.00
304,Atom_304,4,10,2,4,1110.5,0,0.00,No,198.0,152.7,0.00
305,Atom_305,4,10,3,4,1452.5,0,0.00,No,208.0,166.0,0.00
306,Atom_306,4,10,4,4,672.5,0,0.00,No,188.7,174.7,0.00
307,Atom_307,4,10,5,4,1388.5,0,0.00,No,183.3,183.3,0.00
308,Atom_308,4,10,6,4,608.5,0,0.00,No,178.0,220.0,0.00
309,Atom_309,4,10,7,4,1324.5,0,0.00,No,164.7,233.3,0.00
310,Atom_310,4,10,8,4,-203.5,0,0.00,No,151.3,246.7,0.00
311,Atom_311,4,10,9,4,1260.5,0,0.00,No,138.0,260.0,0.00
312,Atom_312,4,10,10,4,-267.5,0,0.00,No,124.7,273.3,0.00
313,Atom_313,4,10,11,4,1196.5,0,0.00,No,111.3,286.7,0.00
314,Atom_314,4,10,12,4,-273.0,0,0.00,No,98.0,300.0,0.00
315,Atom_315,4,10,13,4,1132.5,0,0.00,No,84.7,313.3,0.00
316,Atom_316,4,10,14,4,-273.0,0,0.00,No,71.3,326.7,0.00
317,Atom_317,4,11,0,4,1676.5,0,0.00,No,188.0,155.0,0.00
318,Atom_318,4,11,1,4,1644.5,0,0.00,No,198.0,161.3,0.00
319,Atom_319,4,11,2,4,1238.5,0,0.00,No,208.0,167.7,0.00
320,Atom_320,4,11,3,4,1580.5,0,0.00,No,218.0,181.0,0.00
321,Atom_321,4,11,4,4,800.5,0,0.00,No,198.7,189.7,0.00
322,Atom_322,4,11,5,4,1516.5,0,0.00,No,193.3,198.3,0.00
323,Atom_323,4,11,6,4,736.5,0,0.00,No,188.0,235.0,0.00
324,Atom_324,4,11,7,4,1452.5,0,0.00,No,174.7,248.3,0.00
325,Atom_325,4,11,8,4,-75.5,0,0.00,No,161.3,261.7,0.00
326,Atom_326,4,11,9,4,1388.5,0,0.00,No,148.0,275.0,0.00
327,Atom_327,4,11,10,4,-139.5,0,0.00,No,134.7,288.3,0.00
328,Atom_328,4,11,11,4,1324.5,0,0.00,No,121.3,301.7,0.00
329,Atom_329,4,11,12,4,-203.5,0,0.00,No,108.0,315.0,0.00
330,Atom_330,4,11,13,4,1260.5,0,0.00,No,94.7,328.3,0.00
331,Atom_331,4,11,14,4,-267.5,0,0.00,No,81.3,341.7,0.00
332,Atom_332,4,12,0,4,1804.5,0,0.00,No,198.0,170.0,0.00
333,Atom_333,4,12,1,4,1772.5,0,0.00,No,208.0,176.3,0.00
334,Atom_334,4,12,2,4,1366.5,0,0.00,No,218.0,182.7,0.00
335,Atom_335,4,12,3,4,1708.5,0,0.00,No,228.0,196.0,0.00
336,Atom_336,4,12,4,4,928.5,0,0.00,No,208.7,204.7,0.00
337,Atom_337,4,12,5,4,1644.5,0,0.00,No,203.3,213.3,0.00
338,Atom_338,4,12,6,4,864.5,0,0.00,No,198.0,250.0,0.00
